group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD56bright,CD96,41.45664,1.2900491,0.0,0.0,0.8827361563517915,0.5110213078618663
CD56bright,MT-CO3,41.44103,0.5321643,0.0,0.0,0.9981141779530259,0.9940484937545923
CD56bright,ATP8B4,41.378223,1.7798334,0.0,0.0,0.5834047659866278,0.17501836884643646
CD56bright,SELL,41.320297,2.1621518,0.0,0.0,0.5573461340648037,0.18119030124908156
CD56bright,HNRNPA1,41.126957,0.8698993,0.0,0.0,0.9783987656437511,0.8410727406318883
CD56bright,SPTBN1,41.120926,1.9116571,0.0,0.0,0.5576890108006172,0.16083761939750182
CD56bright,S100A10,40.63606,1.1053262,0.0,0.0,0.938625064289388,0.6659808963997061
CD56bright,GSN,40.53913,1.6572345,0.0,0.0,0.6161494942568146,0.21410727406318883
CD56bright,S100A11,40.50992,1.2861933,0.0,0.0,0.8650780044573976,0.5152094048493755
CD56bright,PLP2,40.117077,1.8281283,0.0,0.0,0.5587176410080577,0.16811168258633358
CD56bright,IFITM1,40.06141,0.8332816,0.0,0.0,0.9843991085204868,0.9154298310066128
CD56bright,H2AFY,39.81208,1.4908199,0.0,0.0,0.6876392936739242,0.2929463629684056
CD56bright,NUCB2,39.724133,1.4893292,0.0,0.0,0.6944968283901938,0.3041146216017634
CD56bright,TAGLN2,39.656563,1.0793777,0.0,0.0,0.9269672552717299,0.671565025716385
CD56bright,SEPT6,39.18824,1.2171808,0.0,0.0,0.8820504028801646,0.5186627479794269
CD56bright,SLC25A5,39.117313,1.2543259,0.0,0.0,0.8169038230756043,0.49066862601028655
CD56bright,RPL27,38.988445,0.73601216,0.0,0.0,0.9842276701525802,0.8872887582659809
CD56bright,RPS4X,38.51494,0.5371881,0.0,0.0,0.9943425338590777,0.9645848640705363
CD56bright,RPL18A,38.34401,0.5104741,0.0,0.0,0.9962283559060517,0.9720793534166055
CD56bright,TALDO1,38.211308,1.3810292,0.0,0.0,0.7114692268129608,0.3417340191036003
CD56bright,CNN2,38.040234,1.3661535,0.0,0.0,0.714555117435282,0.3188831741366642
CD56bright,IL18R1,37.68162,2.3440928,0.0,0.0,0.43768215326590093,0.08398236590742102
CD56bright,YWHAH,37.603447,1.5697942,1.88822541189786e-309,8.299891920430163e-308,0.5875192868163895,0.21293166789125642
CD56bright,CD3E,37.476917,1.4763794,2.1897252378611716e-307,9.418173066069555e-306,0.6128921652665866,0.2274797942689199
CD56bright,PPA1,37.29363,1.7922815,2.0815532953724003e-304,8.857673597329363e-303,0.5102005828904509,0.14628949301983835
CD56bright,RBM3,37.176094,1.186396,1.66111782230457e-302,6.994180304440294e-301,0.8270186867821019,0.49662013225569435
CD56bright,RPS6,37.058308,0.49613553,1.3197893613229192e-300,5.499122338845496e-299,0.9969141093776788,0.9727406318883174
CD56bright,MPG,36.996574,1.3036679,1.3000212121479067e-299,5.360912215042914e-298,0.7270701182924738,0.3308596620132256
CD56bright,PPP1R14B,36.97648,1.9281447,2.735189058201291e-299,1.1164036972250166e-297,0.49014229384536256,0.13916238060249816
CD56bright,HLA-DRB1,36.822186,1.7781727,8.15404558826298e-297,3.2945638740456484e-295,0.5079718841076633,0.1520940484937546
CD56bright,MZT2B,36.755116,1.1037288,9.63269682027544e-296,3.853078728110176e-294,0.8786216355220299,0.5637766348273329
CD56bright,LEF1,36.727787,4.2526937,2.630847306833173e-295,1.0419197254784843e-293,0.3531630378878793,0.019838354151359296
CD56bright,RPL15,36.661453,0.5701106,3.006037930158842e-294,1.1788384039838597e-292,0.9929710269158237,0.949375459221161
CD56bright,LGALS1,36.647686,1.4867897,4.9814086270408274e-294,1.9345276221517778e-292,0.7121549802845877,0.38699485672299777
CD56bright,KLRC1,36.56165,1.3070366,1.164371498699858e-292,4.4783519180763774e-291,0.8268472484141951,0.43181484202792064
CD56bright,RPS16,36.51679,0.6353057,6.005228590727003e-292,2.287706129800763e-290,0.9864563689353677,0.9177075679647319
CD56bright,DOCK10,36.344795,1.2500008,3.175164889090891e-289,1.1981754298456193e-287,0.7565575175724327,0.3659808963997061
CD56bright,IGFBP4,36.160336,8.179046,2.559669908905573e-286,9.568859472544199e-285,0.32813303617349565,0.0013960323291697281
CD56bright,NDUFS8,35.533306,1.2554682,1.5045034025394715e-276,5.5722348242202647e-275,0.7196982684724842,0.32894930198383543
CD56bright,ITGAX,35.29013,1.5420309,8.321630098180452e-273,3.026047308429255e-271,0.5311160637750728,0.17825128581925054
CD56bright,DUT,35.223488,1.6403432,8.738977337585943e-272,3.149181022553493e-270,0.5609463397908452,0.24063188831741367
CD56bright,CD38,35.19911,1.3599466,2.0634892344258061e-271,7.3696044086635936e-270,0.6135779187382137,0.2476855253490081
CD56bright,SYPL1,34.75355,2.254816,1.2248710255303292e-264,4.335826639045413e-263,0.40013715069432537,0.0706833210874357
CD56bright,TXN,34.64201,1.184969,5.8932295598049426e-263,2.067799845545594e-261,0.7783301902965883,0.4592211609110948
CD56bright,SLC1A4,34.609623,2.779717,1.810409719871798e-262,6.297077286510601e-261,0.3699639979427396,0.050624540778839086
CD56bright,CRIP1,34.560043,1.1527549,1.0071766859880118e-261,3.473023055131075e-260,0.8337047831304646,0.5479059515062454
CD56bright,COX5A,34.550755,1.1048783,1.3886101739414918e-261,4.747385210056382e-260,0.815189439396537,0.4818515797207935
CD56bright,TYMS,34.473778,3.6186728,1.9831211685839436e-260,6.555772458128739e-259,0.3531630378878793,0.045260837619397504
CD56bright,PDCD4,34.33518,1.1735705,2.3442656777198213e-258,7.686116976130562e-257,0.7298131321789817,0.3551065393093314
CD56bright,HVCN1,34.322865,2.235086,3.578743524729315e-258,1.1638190324322975e-256,0.4015086576375793,0.07795738427626744
CD56bright,SNRPF,34.22805,1.2749826,9.253715299997677e-257,2.985069451612154e-255,0.6475227155837476,0.27700220426157235
CD56bright,CENPK,34.12407,1.839438,3.2430720628294803e-255,1.0377830601054337e-253,0.4481398937082119,0.11947097722263042
CD56bright,TUBA1B,34.09292,1.6320761,9.391960760605717e-255,2.981574844636736e-253,0.7162695011143494,0.49052167523879503
